run,seconds,max_qpos_diff,max_wrist_diff_deg,left_roll_min_deg,left_roll_max_deg,max_wrist_step_deg,left_roll_limit_frames,logged_cost_mean
all_hand_points,19.4,0.9668759107589722,55.39790725708008,-112.99987030029297,42.35075759887695,17.860376358032227,7,0.029839
bidirectional,23.43,0.509655237197876,29.201091766357422,-112.99987030029297,22.025300979614258,17.937694549560547,6,0.044921
hand_normals5,18.99,0.96104896068573,50.102264404296875,-112.99987030029297,29.300537109375,17.444725036621094,6,0.050747
no_object_collision,15.3,0.5321985483169556,25.389339447021484,-112.99987030029297,27.167861938476562,17.999801635742188,6,0.044918
seed0_a,18.99,0.0,0.0,-112.99987030029297,27.167861938476562,17.937694549560547,6,0.045308
seed0_b,19.18,0.0,0.0,-112.99987030029297,27.167861938476562,17.937694549560547,6,0.045308
seed0_c,19.31,0.0,0.0,-112.99987030029297,27.167861938476562,17.937694549560547,6,0.045308
seed1,19.04,1.2253310680389404,63.02535629272461,-112.99987030029297,31.060054779052734,17.98456382751465,6,0.028599
seed2,19.04,2.4091367721557617,107.18822479248047,-112.99987030029297,36.04266357421875,14.85501480102539,9,0.047552
seed3,18.53,1.416670322418213,63.02535629272461,-112.99987030029297,40.87451171875,17.897335052490234,8,0.035571
source_elbow_wrist_slerp,18.84,1.6284620761871338,93.30400085449219,-56.41987609863281,27.167861938476562,7.404723644256592,0,0.043857
source_wrist_slerp,18.94,1.828611969947815,104.77174377441406,-87.64058685302734,27.167861938476562,16.309612274169922,0,0.043949
